id,latitude,longitude
1,23.814944,72.720782
2,23.814771,72.717
3,23.810884,72.71277
4,23.813983,72.713893
5,23.816433,72.718299
6,23.816268,72.716969
7,23.815964,72.714869
8,23.814439,72.715786
9,23.812703,72.718793
10,23.811992,72.717439
11,23.81369,72.722389
12,23.813011,72.721699
13,23.812368,72.721713
14,23.813497,72.725156
15,23.813786,72.726146
16,23.812269,72.727151
17,23.813694,72.726086
18,23.811189,72.721726
19,23.810736,72.722642
20,23.811183,72.720239
21,23.818063,72.731795
22,23.819847,72.732499
23,23.819829,72.732901
24,23.818536,72.731784
25,23.818425,72.731685
